<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL2,5,20120124,123000,424.0000000,424.0000000,423.7000000,423.7800000,7865
AAPL2,5,20120124,123500,423.7400000,424.1700000,423.7400000,424.1700000,10822
AAPL2,5,20120124,124000,424.0900000,424.0950000,423.7700000,423.8000000,6076
AAPL2,5,20120124,124500,423.8100000,424.0200000,423.7600000,423.9300000,8242
AAPL2,5,20120124,125000,423.9100000,423.9500000,423.5400000,423.7500000,7244
AAPL2,5,20120124,125500,423.7400000,423.9800000,423.7200000,423.9000000,8846
AAPL2,5,20120124,130000,423.9400000,424.0300000,423.8800000,423.9400000,6434
AAPL2,5,20120124,130500,423.9000000,423.9000000,423.5300000,423.5300000,4300
AAPL2,5,20120124,131000,423.5700000,423.6650000,423.5000000,423.6600000,5925
AAPL2,5,20120124,131500,423.6200000,423.6200000,423.4000000,423.4000000,3300
AAPL2,5,20120124,132000,423.3700000,423.4500000,423.3000000,423.4000000,10577
AAPL2,5,20120124,132500,423.3700000,423.4900000,423.2050000,423.2600000,7636
AAPL2,5,20120124,133000,423.2000000,423.2800000,422.6600000,422.7200000,18217
AAPL2,5,20120124,133500,422.6900000,422.9400000,422.6300000,422.7300000,12224
AAPL2,5,20120124,134000,422.6100000,422.6100000,421.2200000,421.2200000,25529
AAPL2,5,20120124,134500,421.1800000,421.6300000,420.8700000,421.5600000,26555
AAPL2,5,20120124,135000,421.5900000,422.0500000,421.4500000,421.9400000,12370
AAPL2,5,20120124,135500,422.0300000,422.1500000,421.8000000,421.9900000,5700
AAPL2,5,20120124,140000,422.0400000,422.1900000,421.8800000,422.1300000,7962
AAPL2,5,20120124,140500,422.2000000,423.1100000,422.2000000,423.1100000,10292
AAPL2,5,20120124,141000,423.0800000,423.1300000,422.7800000,422.9000000,9989
AAPL2,5,20120124,141500,422.9200000,423.0600000,422.8100000,422.8600000,7660
AAPL2,5,20120124,142000,422.9400000,423.1000000,422.7700000,422.8300000,7555
AAPL2,5,20120124,142500,422.8000000,423.0000000,422.6900000,422.9400000,8521
AAPL2,5,20120124,143000,422.9500000,422.9850000,422.6600000,422.6600000,9170
AAPL2,5,20120124,143500,422.6700000,422.6800000,422.2800000,422.3600000,10817
AAPL2,5,20120124,144000,422.3900000,422.5900000,422.3200000,422.4000000,12231
AAPL2,5,20120124,144500,422.4150000,422.4600000,422.0600000,422.2700000,10586
AAPL2,5,20120124,145000,422.2700000,422.3700000,422.0800000,422.1300000,7410
AAPL2,5,20120124,145500,422.1200000,422.1200000,421.6500000,421.6500000,12586
AAPL2,5,20120124,150000,421.6500000,422.1000000,421.6500000,422.0300000,13535
AAPL2,5,20120124,150500,422.0400000,422.3800000,422.0100000,422.0800000,9413
AAPL2,5,20120124,151000,422.1700000,422.2000000,421.7700000,421.8150000,7357
AAPL2,5,20120124,151500,421.8150000,422.2200000,421.6400000,422.1900000,13230
AAPL2,5,20120124,152000,422.1600000,422.4000000,422.0300000,422.2500000,10515
AAPL2,5,20120124,152500,422.2200000,422.4200000,422.0600000,422.1500000,14717
