close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Fri Jan 27 11:00:00 +0000 2012,Fri Jan 27 11:00:53 +0000 2012,Fri Jan 27 11:02:59 +0000 2012,0.15166666666666667,GOOGL,574.79,575.26,574.79,574.95,8140
Fri Jan 27 11:05:00 +0000 2012,Fri Jan 27 11:05:59 +0000 2012,Fri Jan 27 11:09:59 +0000 2012,0.17933333333333334,GOOGL,575.06,575.42,574.95,574.95,2401
Fri Jan 27 11:10:00 +0000 2012,Fri Jan 27 11:10:24 +0000 2012,Fri Jan 27 11:14:57 +0000 2012,-0.05508333333333334,GOOGL,575.04,575.22,574.57,574.87,4649
Fri Jan 27 11:15:00 +0000 2012,Fri Jan 27 11:15:50 +0000 2012,Fri Jan 27 11:19:47 +0000 2012,0.17125,GOOGL,574.86,575.48,574.83,575.26,2932
Fri Jan 27 11:20:00 +0000 2012,Fri Jan 27 11:20:14 +0000 2012,Fri Jan 27 11:22:49 +0000 2012,0.08333333333333333,GOOGL,575.36,575.57,575.22,575.43,4164
Fri Jan 27 11:25:00 +0000 2012,Fri Jan 27 11:25:44 +0000 2012,Fri Jan 27 11:29:41 +0000 2012,0.07790178571428573,GOOGL,575.42,575.47,575.22,575.22,934
Fri Jan 27 11:30:00 +0000 2012,Fri Jan 27 11:30:43 +0000 2012,Fri Jan 27 11:34:59 +0000 2012,0.18375,GOOGL,575.06,575.41,574.74,574.74,3642
Fri Jan 27 11:35:00 +0000 2012,Fri Jan 27 11:36:49 +0000 2012,Fri Jan 27 11:39:51 +0000 2012,0.26796875000000003,GOOGL,574.77,574.82,574.29,574.46,4599
Fri Jan 27 11:40:00 +0000 2012,Fri Jan 27 11:40:26 +0000 2012,Fri Jan 27 11:44:36 +0000 2012,-0.03333333333333334,GOOGL,574.23,574.23,573.47,573.9,4866
Fri Jan 27 11:45:00 +0000 2012,Fri Jan 27 11:45:48 +0000 2012,Fri Jan 27 11:49:49 +0000 2012,0.10669886363636363,GOOGL,573.94,573.94,573.51,573.75,2440
Fri Jan 27 11:50:00 +0000 2012,Fri Jan 27 11:50:22 +0000 2012,Fri Jan 27 11:54:35 +0000 2012,0.1762152777777778,GOOGL,573.82,573.99,573.82,573.99,2401
