close_time,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Thu Jan 05 12:10:00 +0000 2012,AAPL2,415.0800000,415.1800000,415.0000000,415.1700000,5015
Thu Jan 05 12:15:00 +0000 2012,AAPL2,415.1700000,415.3800000,415.1300000,415.3800000,6399
Thu Jan 05 12:20:00 +0000 2012,AAPL2,415.3800000,415.8200000,415.3800000,415.7500000,21813
Thu Jan 05 12:25:00 +0000 2012,AAPL2,415.7000000,415.8700000,415.3500000,415.8000000,16758
Thu Jan 05 12:30:00 +0000 2012,AAPL2,415.8000000,416.2700000,415.8000000,416.2700000,27202
Thu Jan 05 12:35:00 +0000 2012,AAPL2,416.3000000,416.3300000,415.9300000,415.9300000,13211
Thu Jan 05 12:40:00 +0000 2012,AAPL2,415.9400000,415.9400000,415.6700000,415.7200000,8816
Thu Jan 05 12:45:00 +0000 2012,AAPL2,415.7100000,416.0200000,415.5700000,415.9500000,11048
Thu Jan 05 12:50:00 +0000 2012,AAPL2,415.9700000,416.1400000,415.8200000,416.1000000,5084
Thu Jan 05 12:55:00 +0000 2012,AAPL2,416.1100000,416.1200000,415.8200000,415.8600000,5531
Thu Jan 05 13:00:00 +0000 2012,AAPL2,415.9000000,416.1000000,415.7500000,416.1000000,5777
Thu Jan 05 13:05:00 +0000 2012,AAPL2,416.1200000,416.4600000,416.0850000,416.3750000,11516
Thu Jan 05 13:10:00 +0000 2012,AAPL2,416.3800000,416.5200000,416.2800000,416.4500000,14039
Thu Jan 05 13:15:00 +0000 2012,AAPL2,416.4700000,416.5600000,416.3000000,416.3000000,7337
Thu Jan 05 13:20:00 +0000 2012,AAPL2,416.2700000,416.4300000,416.2700000,416.3900000,6678
Thu Jan 05 13:25:00 +0000 2012,AAPL2,416.4000000,416.4500000,416.3000000,416.3700000,4840
Thu Jan 05 13:30:00 +0000 2012,AAPL2,416.3750000,416.7600000,416.3500000,416.7600000,15507
Thu Jan 05 13:35:00 +0000 2012,AAPL2,416.8000000,416.9800000,416.7300000,416.9700000,12635
Thu Jan 05 13:40:00 +0000 2012,AAPL2,416.9600000,417.4600000,416.9500000,417.4600000,12879
Thu Jan 05 13:45:00 +0000 2012,AAPL2,417.4700000,417.8400000,417.4000000,417.7600000,18404
Thu Jan 05 13:50:00 +0000 2012,AAPL2,417.7700000,417.9000000,417.7600000,417.8400000,17177
Thu Jan 05 13:55:00 +0000 2012,AAPL2,417.8600000,417.8600000,417.5100000,417.7000000,12739
Thu Jan 05 14:00:00 +0000 2012,AAPL2,417.7100000,417.8800000,417.6700000,417.8500000,10049
Thu Jan 05 14:05:00 +0000 2012,AAPL2,417.8100000,418.1300000,417.8000000,418.0100000,21955
Thu Jan 05 14:10:00 +0000 2012,AAPL2,418.0500000,418.1500000,417.9000000,418.0000000,20970
Thu Jan 05 14:15:00 +0000 2012,AAPL2,418.0100000,418.5000000,417.9700000,418.4100000,21202
Thu Jan 05 14:20:00 +0000 2012,AAPL2,418.4200000,418.4200000,418.0600000,418.1000000,14171
Thu Jan 05 14:25:00 +0000 2012,AAPL2,418.1700000,418.2000000,417.7300000,417.7900000,9328
Thu Jan 05 14:30:00 +0000 2012,AAPL2,417.8600000,417.9400000,417.4900000,417.6000000,10399
Thu Jan 05 14:35:00 +0000 2012,AAPL2,417.6000000,417.7200000,417.4000000,417.5000000,10932
Thu Jan 05 14:40:00 +0000 2012,AAPL2,417.5200000,417.5700000,417.2100000,417.4400000,3500
Thu Jan 05 14:45:00 +0000 2012,AAPL2,417.4600000,417.7300000,417.4000000,417.6100000,10768
Thu Jan 05 14:50:00 +0000 2012,AAPL2,417.6400000,417.8000000,417.6200000,417.6400000,17083
Thu Jan 05 14:55:00 +0000 2012,AAPL2,417.6500000,417.7700000,417.4200000,417.5300000,6066
Thu Jan 05 15:00:00 +0000 2012,AAPL2,417.4300000,417.5400000,416.8300000,417.0300000,13256
Thu Jan 05 15:05:00 +0000 2012,AAPL2,417.0700000,417.6300000,417.0400000,417.5900000,10495
Thu Jan 05 15:10:00 +0000 2012,AAPL2,417.5500000,417.6400000,417.3000000,417.3000000,4832
Thu Jan 05 15:15:00 +0000 2012,AAPL2,417.3000000,417.3300000,416.7300000,416.7900000,13690
Thu Jan 05 15:20:00 +0000 2012,AAPL2,416.8550000,417.1300000,416.7100000,416.9700000,11666
Thu Jan 05 15:25:00 +0000 2012,AAPL2,417.0300000,417.2100000,416.9200000,417.2100000,7551
Thu Jan 05 15:30:00 +0000 2012,AAPL2,417.2700000,417.7300000,417.1500000,417.5300000,21936
Thu Jan 05 15:35:00 +0000 2012,AAPL2,417.6000000,417.6300000,417.3000000,417.3100000,14426
Thu Jan 05 15:40:00 +0000 2012,AAPL2,417.2500000,417.3600000,417.1250000,417.3600000,11218
Thu Jan 05 15:45:00 +0000 2012,AAPL2,417.3600000,417.9200000,417.3200000,417.8100000,25547
Thu Jan 05 15:50:00 +0000 2012,AAPL2,417.7600000,417.8900000,417.6600000,417.8700000,13305
Thu Jan 05 15:55:00 +0000 2012,AAPL2,417.8800000,417.8900000,417.5800000,417.8000000,17172
Thu Jan 05 16:00:00 +0000 2012,AAPL2,417.8200000,418.5500000,417.7700000,418.0600000,27544
Fri Jan 06 09:35:00 +0000 2012,AAPL2,419.8000000,419.9650000,419.5000000,419.8200000,62368
Fri Jan 06 09:40:00 +0000 2012,AAPL2,419.8450000,421.4000000,419.8400000,421.2500000,74422
Fri Jan 06 09:45:00 +0000 2012,AAPL2,421.2500000,421.4700000,420.3000000,420.7900000,65764
Fri Jan 06 09:50:00 +0000 2012,AAPL2,420.7900000,420.8400000,420.0600000,420.1300000,22534
Fri Jan 06 09:55:00 +0000 2012,AAPL2,420.1800000,420.2800000,419.2300000,419.3800000,40337
Fri Jan 06 10:00:00 +0000 2012,AAPL2,419.4000000,420.2000000,419.4000000,420.0900000,30523
Fri Jan 06 10:05:00 +0000 2012,AAPL2,420.0800000,420.6500000,419.9200000,420.6400000,26354
Fri Jan 06 10:10:00 +0000 2012,AAPL2,420.5600000,420.5600000,419.7500000,420.1100000,14978
Fri Jan 06 10:15:00 +0000 2012,AAPL2,419.9700000,420.0400000,419.7000000,419.9800000,14123
Fri Jan 06 10:20:00 +0000 2012,AAPL2,419.9800000,420.3600000,419.9800000,420.0200000,6907
Fri Jan 06 10:25:00 +0000 2012,AAPL2,420.1000000,420.3900000,420.0000000,420.2700000,11818
Fri Jan 06 10:30:00 +0000 2012,AAPL2,420.2800000,420.3000000,420.1000000,420.2300000,14615
Fri Jan 06 10:35:00 +0000 2012,AAPL2,420.1900000,420.8000000,420.1500000,420.8000000,15622
Fri Jan 06 10:40:00 +0000 2012,AAPL2,420.7500000,420.9000000,420.6500000,420.9000000,10290
Fri Jan 06 10:45:00 +0000 2012,AAPL2,420.9000000,421.0000000,420.7500000,420.8500000,21946
Fri Jan 06 10:50:00 +0000 2012,AAPL2,420.8000000,421.2300000,420.7500000,421.2000000,14243
Fri Jan 06 10:55:00 +0000 2012,AAPL2,421.2200000,421.2600000,420.8400000,420.8400000,16473
