<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120105,121500,659.7800000,659.7800000,659.2900000,659.4300000,4563
GOOGL,5,20120105,122000,659.4500000,660.0000000,659.4500000,659.7100000,3594
GOOGL,5,20120105,122500,659.8700000,659.8700000,659.1100000,659.7550000,2865
GOOGL,5,20120105,123000,659.5200000,659.5200000,659.1100000,659.1400000,780
GOOGL,5,20120105,123500,659.3100000,659.3100000,658.8100000,658.8100000,2300
GOOGL,5,20120105,124000,658.5800000,658.6450000,657.0000000,657.0000000,9496
GOOGL,5,20120105,124500,657.0500000,657.5450000,656.9200000,657.4500000,6550
GOOGL,5,20120105,125000,656.9500000,656.9800000,656.2500000,656.9800000,2440
GOOGL,5,20120105,125500,657.3500000,658.2800000,657.2000000,658.2000000,1941
GOOGL,5,20120105,130000,658.2700000,659.0100000,658.2000000,659.0050000,3500
GOOGL,5,20120105,130500,658.9400000,659.0950000,658.7500000,658.7900000,2200
GOOGL,5,20120105,131000,658.8200000,659.0300000,658.7400000,658.9700000,3300
GOOGL,5,20120105,131500,658.9800000,659.4600000,658.9400000,659.4500000,2061
GOOGL,5,20120105,132000,659.9000000,660.2000000,659.7500000,660.2000000,900
GOOGL,5,20120105,132500,660.1400000,661.3200000,660.1400000,661.3200000,2199
GOOGL,5,20120105,133000,660.9900000,661.3350000,660.8100000,661.1700000,3539
GOOGL,5,20120105,133500,661.1100000,661.8800000,661.1100000,661.6300000,6737
GOOGL,5,20120105,134000,661.7200000,661.8900000,661.0600000,661.0600000,1700
GOOGL,5,20120105,134500,660.9600000,661.1400000,660.8600000,660.9400000,2200
GOOGL,5,20120105,135000,660.8600000,660.9000000,659.8500000,659.8600000,3392
GOOGL,5,20120105,135500,659.8900000,659.9900000,659.6000000,659.6000000,3100
GOOGL,5,20120105,140000,659.5600000,659.5600000,658.6400000,658.7400000,2000
GOOGL,5,20120105,140500,658.8200000,659.2700000,658.8100000,659.2600000,1500
GOOGL,5,20120105,141000,659.3300000,659.7700000,659.0200000,659.4900000,2700
GOOGL,5,20120105,141500,659.4900000,659.4900000,658.7300000,658.7300000,1800
GOOGL,5,20120105,142000,658.8300000,658.8300000,658.2500000,658.6100000,2100
GOOGL,5,20120105,142500,658.8200000,658.8200000,658.4700000,658.4700000,1690
GOOGL,5,20120105,143000,659.0000000,659.2900000,658.9700000,659.0900000,1300
GOOGL,5,20120105,143500,659.1600000,659.1600000,658.7000000,658.7600000,2095
GOOGL,5,20120105,144000,658.6800000,658.6800000,658.5000000,658.5000000,1600
GOOGL,5,20120105,144500,658.4000000,658.6800000,658.1900000,658.6800000,1300
GOOGL,5,20120105,145000,658.6300000,659.0000000,658.6300000,658.8500000,1000
GOOGL,5,20120105,145500,658.8400000,659.1300000,658.7200000,659.0700000,3456
GOOGL,5,20120105,150000,658.9900000,659.1500000,658.8200000,658.9400000,2121
GOOGL,5,20120105,150500,658.8500000,659.3200000,658.7800000,659.3200000,2200
GOOGL,5,20120105,151000,659.9700000,660.0500000,659.7400000,660.0500000,2900
GOOGL,5,20120105,151500,660.0400000,660.1600000,659.7200000,659.7200000,3447
GOOGL,5,20120105,152000,659.7000000,659.8500000,659.5900000,659.8100000,2900
GOOGL,5,20120105,152500,659.6400000,659.6400000,659.1800000,659.1800000,1300
GOOGL,5,20120105,153000,659.2700000,659.8100000,659.1200000,659.4600000,1737
GOOGL,5,20120105,153500,659.2500000,659.2500000,658.1100000,658.1100000,2100
GOOGL,5,20120105,154000,658.2800000,658.6000000,658.0300000,658.4800000,3238
GOOGL,5,20120105,154500,658.6000000,659.5900000,658.6000000,659.4000000,3232
GOOGL,5,20120105,155000,659.2400000,659.3800000,658.9500000,659.1700000,5005
GOOGL,5,20120105,155500,659.1300000,659.1300000,658.8500000,659.0400000,6026
GOOGL,5,20120105,160000,659.0500000,659.5000000,658.8550000,659.0000000,8666
GOOGL,5,20120106,093500,659.8200000,659.9000000,656.3900000,656.5100000,7397
GOOGL,5,20120106,094000,656.3600000,657.6500000,655.8800000,657.2000000,2650
GOOGL,5,20120106,094500,656.5500000,656.5500000,654.9700000,655.2400000,11405
GOOGL,5,20120106,095000,655.1800000,655.5200000,654.1200000,654.7100000,5498
GOOGL,5,20120106,095500,654.5800000,654.5800000,652.6800000,653.5400000,4420
